user_id,segment_id,lifecycle_day,total_notif,notification,time,channel,message_title_en,message_body_en,cta_text_en,message_title_hi,message_body_hi,cta_text_hi
US_1,0,lifecycle_stage_paid,5,notif_1,03:00,Push,Coins Alert,Your {coins_balance} is growing!,Grow,Coins Alert,Aapka {coins_balance} badh raha hai!,Badhao
US_1,0,lifecycle_stage_paid,5,notif_2,05:00,In-App,New,What's hiding in your {feature_name}?,See,Naya,Aapke {feature_name} mein kya chupa hai?,Dekho
US_1,0,lifecycle_stage_paid,5,notif_3,07:00,Push,Claim Now,Get more {coins_balance} & customize your profile!,Claim,Abhi Claim Karo,"Aur {coins_balance} kamao, apna profile customize karo!",Claim Karo
US_1,0,lifecycle_stage_paid,5,notif_4,07:15,In-App,You're Back,Welcome to your {feature_name}! Check your {coins_balance}.,Go,Aap Wapas,Aapka {feature_name}! Aapka {coins_balance} dekho.,Chalo
US_1,0,lifecycle_stage_paid,5,notif_5,09:00,Email,Daily Recap,You earned {coins_balance} today!,Done,Aaj Ka Recap,Aaj aapne {coins_balance} kamaya!,Ho Gaya
US_2,1,lifecycle_stage_churned,3,notif_1,16:00,In-App,New Strategy,Discover new ways to learn with {feature_name},Explore,Naya Tareeka,"{first_name}, {feature_name} ke naye tareeke seekho",Jaanne ke liye
US_2,1,lifecycle_stage_churned,3,notif_2,18:00,Push,Your Edge,Validate your unique approach with {feature_name} now,Go,Aapka Edge,"{first_name}, {feature_name} ke saath apna unique approach validate karein",Chalo
US_2,1,lifecycle_stage_churned,3,notif_3,20:00,Email,Today's Gain,You learned something new with {feature_name} today,Done,Aaj Ka Labh,"{first_name}, aaj {feature_name} ke saath kuch naya seekha",Ho Gaya
US_3,2,lifecycle_stage_trial,5,notif_1,05:00,Push,Get Ready,Your {streak_current} streak is on fire,Let's Go,Taiyaar Ho Jaao,Aapka {streak_current} streak jal raha hai,Chalo Shuru Karein
US_3,2,lifecycle_stage_trial,5,notif_2,07:00,In-App,New Challenge,Discover what's new in {feature_name},Explore,Kya Hai Naya?,{feature_name} mein kya hai naya?,Jaanein
US_3,2,lifecycle_stage_trial,5,notif_3,09:00,Push,Level Up,Master {feature_name} & earn {coins_balance} coins,Play Now,Level Badhaein,{feature_name} mein master banen aur {coins_balance} coins kamaen,Abhi Khelien
US_3,2,lifecycle_stage_trial,5,notif_4,09:15,In-App,You're In,"Welcome back, {first_name}! Check your {streak_current} streak",View,Aap Andar Hain,"Swagat hai, {first_name}! Aapka {streak_current} streak dekhein",Dekhein
US_3,2,lifecycle_stage_trial,5,notif_5,11:00,Email,Daily Recap,You learned something new today in {feature_name},Done,Din Bhar Ka Recap,Aaj aapne {feature_name} mein kuch naya seekha,Ho Gaya
US_4,0,lifecycle_stage_paid,5,notif_1,11:00,Push,Coins Alert,Your {coins_balance} is growing!,Grow,Coins Alert,Aapka {coins_balance} badh raha hai!,Badhao
US_4,0,lifecycle_stage_paid,5,notif_2,13:00,In-App,New,What's hiding in your {feature_name}?,See,Naya,Aapke {feature_name} mein kya chupa hai?,Dekho
US_4,0,lifecycle_stage_paid,5,notif_3,15:00,Push,Claim Now,Get more {coins_balance} & customize your profile!,Claim,Abhi Claim Karo,"Aur {coins_balance} kamao, apna profile customize karo!",Claim Karo
US_4,0,lifecycle_stage_paid,5,notif_4,15:15,In-App,You're Back,Welcome to your {feature_name}! Check your {coins_balance}.,Go,Aap Wapas,Aapka {feature_name}! Aapka {coins_balance} dekho.,Chalo
US_4,0,lifecycle_stage_paid,5,notif_5,17:00,Email,Daily Recap,You earned {coins_balance} today!,Done,Aaj Ka Recap,Aaj aapne {coins_balance} kamaya!,Ho Gaya
US_5,1,lifecycle_stage_churned,3,notif_1,07:00,In-App,New Strategy,Discover new ways to learn with {feature_name},Explore,Naya Tareeka,"{first_name}, {feature_name} ke naye tareeke seekho",Jaanne ke liye
US_5,1,lifecycle_stage_churned,3,notif_2,09:00,Push,Your Edge,Validate your unique approach with {feature_name} now,Go,Aapka Edge,"{first_name}, {feature_name} ke saath apna unique approach validate karein",Chalo
US_5,1,lifecycle_stage_churned,3,notif_3,11:00,Email,Today's Gain,You learned something new with {feature_name} today,Done,Aaj Ka Labh,"{first_name}, aaj {feature_name} ke saath kuch naya seekha",Ho Gaya
US_6,2,lifecycle_stage_trial,5,notif_1,04:00,Push,Get Ready,Your {streak_current} streak is on fire,Let's Go,Taiyaar Ho Jaao,Aapka {streak_current} streak jal raha hai,Chalo Shuru Karein
